

gen best mean std
0 85.292892 1.666664 18.583534
1 85.292892 13.251912 27.228329
2 85.292892 25.848445 29.949586
3 85.292892 41.532414 29.639851

gen best mean std
3 85.292892 41.532414 29.639851
4 87.777882 56.230041 22.876947
5 87.777882 59.327387 19.823043
6 87.777882 64.200554 15.847472
7 87.777882 67.353917 11.146783
8 87.777882 63.642074 14.998349
9 87.777882 65.184971 13.612393
10 87.777882 64.662511 14.758002
11 87.777882 66.284276 12.243098
12 87.777882 65.38125 15.370582
13 87.777882 62.66297 17.009707
14 87.777882 62.004553 16.586926
15 87.777882 63.291975 13.977578
16 87.777882 63.559757 14.326466
17 87.777882 63.506713 15.007154
18 88.818708 63.545209 15.809039
19 88.818708 65.885528 12.838563
20 88.818708 66.843742 11.397904
